"Libellé";"Indice des prix à la consommation harmonisé - Base 2015 - Ensemble des ménages - France - Nomenclature Coicop : Ensemble harmonisé";"Codes"
"idBank";"001759971";""
"Dernière mise à jour";"11/07/2025 08:45";""
"Période";"";""
"2025-01";"123.42";"A"
"2024-12";"123.62";"A"
"2024-11";"123.36";"A"
"2024-10";"123.54";"A"
"2024-09";"123.15";"A"
"2024-08";"124.77";"A"
"2024-07";"124.03";"A"
"2024-06";"123.78";"A"
"2024-05";"123.59";"A"
"2024-04";"123.41";"A"
"2024-03";"122.65";"A"
"2024-02";"122.35";"A"
"2024-01";"121.2";"A"
"2023-12";"121.49";"A"
"2023-11";"121.32";"A"
"2023-10";"121.61";"A"
"2023-09";"121.4";"A"
"2023-08";"122.1";"A"
"2023-07";"120.77";"A"
"2023-06";"120.71";"A"
"2023-05";"120.46";"A"
"2023-04";"120.55";"A"
"2023-03";"119.76";"A"
"2023-02";"118.55";"A"
"2023-01";"117.22";"A"
"2022-12";"116.7";"A"
"2022-11";"116.81";"A"
"2022-10";"116.32";"A"
"2022-09";"114.9";"A"
"2022-08";"115.49";"A"
"2022-07";"114.94";"A"
"2022-06";"114.6";"A"
"2022-05";"113.63";"A"
"2022-04";"112.78";"A"
"2022-03";"112.26";"A"
"2022-02";"110.49";"A"
"2022-01";"109.51";"A"
"2021-12";"109.34";"A"
"2021-11";"109.09";"A"
"2021-10";"108.64";"A"
"2021-09";"108.16";"A"
"2021-08";"108.38";"A"
"2021-07";"107.64";"A"
"2021-06";"107.57";"A"
"2021-05";"107.38";"A"
"2021-04";"107.02";"A"
"2021-03";"106.8";"A"
"2021-02";"106.07";"A"
"2021-01";"106.03";"A"
"2020-12";"105.75";"A"
"2020-11";"105.5";"A"
"2020-10";"105.27";"A"
"2020-09";"105.3";"A"
"2020-08";"105.89";"A"
"2020-07";"106.01";"A"
"2020-06";"105.58";"A"
"2020-05";"105.49";"A"
"2020-04";"105.32";"A"
"2020-03";"105.34";"A"
"2020-02";"105.27";"A"
"2020-01";"105.24";"A"
"2019-12";"105.78";"A"
"2019-11";"105.27";"A"
"2019-10";"105.2";"A"
"2019-09";"105.28";"A"
"2019-08";"105.67";"A"
"2019-07";"105.11";"A"
"2019-06";"105.35";"A"
"2019-05";"105.06";"A"
"2019-04";"104.93";"A"
"2019-03";"104.55";"A"
"2019-02";"103.64";"A"
"2019-01";"103.52";"A"
"2018-12";"104.1";"A"
"2018-11";"104.0";"A"
"2018-10";"104.24";"A"
"2018-09";"104.12";"A"
"2018-08";"104.35";"A"
"2018-07";"103.8";"A"
"2018-06";"103.93";"A"
"2018-05";"103.92";"P"
"2018-04";"103.43";"A"
"2018-03";"103.22";"A"
"2018-02";"102.05";"A"
"2018-01";"102.06";"A"
"2017-12";"102.16";"A"
"2017-11";"101.8";"A"
"2017-10";"101.7";"A"
"2017-09";"101.58";"A"
"2017-08";"101.74";"A"
"2017-07";"101.17";"A"
"2017-06";"101.58";"A"
"2017-05";"101.59";"A"
"2017-04";"101.57";"A"
"2017-03";"101.47";"A"
"2017-02";"100.73";"A"
"2017-01";"100.57";"A"
"2016-12";"100.9";"A"
"2016-11";"100.55";"A"
"2016-10";"100.54";"A"
"2016-09";"100.5";"A"
"2016-08";"100.74";"A"
"2016-07";"100.39";"A"
"2016-06";"100.8";"A"
"2016-05";"100.65";"A"
"2016-04";"100.18";"A"
"2016-03";"100.09";"A"
"2016-02";"99.31";"A"
"2016-01";"99.02";"A"
"2015-12";"100.09";"A"
"2015-11";"99.86";"A"
"2015-10";"100.07";"A"
"2015-09";"99.99";"A"
"2015-08";"100.36";"A"
"2015-07";"100.0";"A"
"2015-06";"100.49";"A"
"2015-05";"100.56";"A"
"2015-04";"100.3";"A"
"2015-03";"100.17";"A"
"2015-02";"99.42";"A"
"2015-01";"98.7";"A"
"2014-12";"99.82";"A"
"2014-11";"99.75";"A"
"2014-10";"99.92";"A"
"2014-09";"99.89";"A"
"2014-08";"100.26";"A"
"2014-07";"99.78";"A"
"2014-06";"100.16";"A"
"2014-05";"100.21";"A"
"2014-04";"100.18";"A"
"2014-03";"100.21";"A"
"2014-02";"99.7";"A"
"2014-01";"99.09";"A"
"2013-12";"99.73";"A"
"2013-11";"99.35";"A"
"2013-10";"99.39";"A"
"2013-09";"99.52";"A"
"2013-08";"99.72";"A"
"2013-07";"99.22";"A"
"2013-06";"99.57";"A"
"2013-05";"99.39";"A"
"2013-04";"99.35";"A"
"2013-03";"99.46";"A"
"2013-02";"98.65";"A"
"2013-01";"98.34";"A"
"2012-12";"98.9";"A"
"2012-11";"98.54";"A"
"2012-10";"98.71";"A"
"2012-09";"98.51";"A"
"2012-08";"98.76";"A"
"2012-07";"98.05";"A"
"2012-06";"98.56";"A"
"2012-05";"98.51";"A"
"2012-04";"98.56";"A"
"2012-03";"98.39";"A"
"2012-02";"97.49";"A"
"2012-01";"97.03";"A"
"2011-12";"97.41";"A"
"2011-11";"96.99";"A"
"2011-10";"96.69";"A"
"2011-09";"96.43";"A"
"2011-08";"96.46";"A"
"2011-07";"95.91";"A"
"2011-06";"96.39";"A"
"2011-05";"96.31";"A"
"2011-04";"96.24";"A"
"2011-03";"95.9";"A"
"2011-02";"95.07";"A"
"2011-01";"94.6";"A"
"2010-12";"94.88";"A"
"2010-11";"94.41";"A"
"2010-10";"94.29";"A"
"2010-09";"94.15";"A"
"2010-08";"94.19";"A"
"2010-07";"93.95";"A"
"2010-06";"94.26";"A"
"2010-05";"94.27";"A"
"2010-04";"94.14";"A"
"2010-03";"93.85";"A"
"2010-02";"93.36";"A"
"2010-01";"92.79";"A"
"2009-12";"93.01";"A"
"2009-11";"92.74";"A"
"2009-10";"92.59";"A"
"2009-09";"92.49";"A"
"2009-08";"92.7";"A"
"2009-07";"92.19";"A"
"2009-06";"92.65";"A"
"2009-05";"92.52";"A"
"2009-04";"92.39";"A"
"2009-03";"92.24";"A"
"2009-02";"92.06";"A"
"2009-01";"91.67";"A"
"2008-12";"92.07";"A"
"2008-11";"92.32";"A"
"2008-10";"92.79";"A"
"2008-09";"92.84";"A"
"2008-08";"92.87";"A"
"2008-07";"92.93";"A"
"2008-06";"93.18";"A"
"2008-05";"92.79";"A"
"2008-04";"92.26";"A"
"2008-03";"91.91";"A"
"2008-02";"91.18";"A"
"2008-01";"90.98";"A"
"2007-12";"90.99";"A"
"2007-11";"90.62";"A"
"2007-10";"90.08";"A"
"2007-09";"89.83";"A"
"2007-08";"89.7";"A"
"2007-07";"89.32";"A"
"2007-06";"89.61";"A"
"2007-05";"89.48";"A"
"2007-04";"89.25";"A"
"2007-03";"88.77";"A"
"2007-02";"88.36";"A"
"2007-01";"88.17";"A"
"2006-12";"88.51";"A"
"2006-11";"88.3";"A"
"2006-10";"88.19";"A"
"2006-09";"88.4";"A"
"2006-08";"88.58";"A"
"2006-07";"88.29";"A"
"2006-06";"88.46";"A"
"2006-05";"88.46";"A"
"2006-04";"88.08";"A"
"2006-03";"87.69";"A"
"2006-02";"87.31";"A"
"2006-01";"86.97";"A"
"2005-12";"87.0";"A"
"2005-11";"86.9";"A"
"2005-10";"87.1";"A"
"2005-09";"87.1";"A"
"2005-08";"86.8";"A"
"2005-07";"86.4";"A"
"2005-06";"86.5";"A"
"2005-05";"86.4";"A"
"2005-04";"86.4";"A"
"2005-03";"86.2";"A"
"2005-02";"85.6";"A"
"2005-01";"85.1";"A"
"2004-12";"85.5";"A"
"2004-11";"85.4";"A"
"2004-10";"85.4";"A"
"2004-09";"85.2";"A"
"2004-08";"85.1";"A"
"2004-07";"84.9";"A"
"2004-06";"85.0";"A"
"2004-05";"85.0";"A"
"2004-04";"84.7";"A"
"2004-03";"84.4";"A"
"2004-02";"84.1";"A"
"2004-01";"83.7";"A"
"2003-12";"83.7";"A"
"2003-11";"83.6";"A"
"2003-10";"83.5";"A"
"2003-09";"83.3";"A"
"2003-08";"82.9";"A"
"2003-07";"82.7";"A"
"2003-06";"82.8";"A"
"2003-05";"82.7";"A"
"2003-04";"82.7";"A"
"2003-03";"82.8";"A"
"2003-02";"82.5";"A"
"2003-01";"81.9";"A"
"2002-12";"81.7";"A"
"2002-11";"81.6";"A"
"2002-10";"81.6";"A"
"2002-09";"81.5";"A"
"2002-08";"81.3";"A"
"2002-07";"81.1";"A"
"2002-06";"81.2";"A"
"2002-05";"81.2";"A"
"2002-04";"81.1";"A"
"2002-03";"80.8";"A"
"2002-02";"80.4";"A"
"2002-01";"80.4";"A"
"2001-12";"80.0";"A"
"2001-11";"79.9";"A"
"2001-10";"80.1";"A"
"2001-09";"80.0";"A"
"2001-08";"79.9";"A"
"2001-07";"79.9";"A"
"2001-06";"80.0";"A"
"2001-05";"80.0";"A"
"2001-04";"79.5";"A"
"2001-03";"79.1";"A"
"2001-02";"78.7";"A"
"2001-01";"78.5";"A"
"2000-12";"78.8";"A"
"2000-11";"78.8";"A"
"2000-10";"78.7";"A"
"2000-09";"78.7";"A"
"2000-08";"78.3";"A"
"2000-07";"78.2";"A"
"2000-06";"78.3";"A"
"2000-05";"78.1";"A"
"2000-04";"77.9";"A"
"2000-03";"77.9";"A"
"2000-02";"77.5";"A"
"2000-01";"77.4";"A"
